video,query,duration,motion_intensity,visual_entropy,scene_changes,system_load,cost,latency,matched
vidssave.com FASTEST AMBULANCE EVER! 1080P.mp4,find all frames where there is a moving black car in frame,27.027,1.823,7.064,0,41.85,0.000122,10.177,False
vidssave.com FREE STOCK FOOTAGE- Traffic on the streets 1080P.mp4,find all frames where there is a person in frame,13.647,31.298,7.416,0,38.0,0.000985,85.195,True
vidssave.com FREE STOCK FOOTAGE- Traffic on the streets 1080P.mp4,find all frames where there is a male with a red tshirt,13.647,31.298,7.416,0,44.35,0.000928,80.198,True
vidssave.com FREE STOCK FOOTAGE- Traffic on the streets 1080P.mp4,find all frames where there is a white car,13.647,31.298,7.416,0,37.1,0.000467,40.165,True
vidssave.com How To Dice an Onyo (Onion) 720P.mp4,find all frames where there is a knife,57.8,31.178,7.602,4,43.55,0.000755,65.176,True
vidssave.com How To Dice an Onyo (Onion) 720P.mp4,find all frames where there is onion in the frame,57.8,31.178,7.602,4,38.15,0.001792,155.389,True
vidssave.com How To Dice an Onyo (Onion) 720P.mp4,find all frames where there is a man in frame,57.8,31.178,7.602,4,38.9,0.002253,195.409,True
vidssave.com Rain Sounds   15 seconds soundtrack 480p.mp4,find all frames where there is a cat,15.048,2.644,7.123,1,40.25,0.00018,15.156,False
vidssave.com Rain Sounds   15 seconds soundtrack 480p.mp4,find all frames where there is water in frame,15.048,2.644,7.123,1,41.95,0.000238,20.197,True
vidssave.com Rain Sounds   15 seconds soundtrack 480p.mp4,find all frames where there is a tree in frame,15.048,2.644,7.123,1,37.85,0.000237,20.169,True
vidssave.com When My City's Traffic Lights Turn Off __ ViralHog 720P.mp4,find all frames where two cars are too close to each other,11.887,4.046,7.378,0,44.5,0.00064,55.175,True
vidssave.com When My City's Traffic Lights Turn Off __ ViralHog 720P.mp4,find all frames where there is a red car moving,11.887,4.046,7.378,0,42.65,0.00064,55.184,True
